J, Jp,  transition energy (au), line strength (au), the level inverse lifetime (au), transition energy (nm) ,linewidth (Hz)
9.0,9.0,0.20258002,5.254e-8,0.0,225.0,0.0
9.0,8.0,0.20282333,1.92e-7,0.0,225.0,0.0
9.0,10.0,0.20400934,4.132e-7,0.0,223.0,0.0
9.0,8.0,0.20476068,3.013e-8,0.0,222.0,0.0
9.0,9.0,0.20489919,3.233e-9,0.0,222.0,0.0
9.0,8.0,0.2058018,4.371e-6,0.0,221.0,0.0
9.0,10.0,0.20580636,2.144e-7,0.0,221.0,0.0
9.0,8.0,0.20815332,4.929e-6,0.0,219.0,0.0
9.0,8.0,0.20889327,1.253e-6,0.0,218.0,0.0
9.0,9.0,0.20934662,2.379e-7,0.0,218.0,0.0
9.0,8.0,0.20956715,3.79e-6,0.0,217.0,0.0
9.0,8.0,0.2097084,1.009e-6,0.0,217.0,0.0
9.0,9.0,0.21059916,7.937e-9,0.0,216.0,0.0
9.0,8.0,0.2106839,2.039e-6,0.0,216.0,0.0
9.0,8.0,0.21223032,1.139e-8,0.0,215.0,0.0
9.0,9.0,0.21349425,5.364e-6,0.0,213.0,0.0
9.0,9.0,0.21443741,3.07e-7,0.0,212.0,0.0
9.0,8.0,0.21447522,1.522e-5,0.0,212.0,0.0
9.0,10.0,0.21453218,3.612e-7,0.0,212.0,0.0
9.0,9.0,0.21467844,3.093e-8,0.0,212.0,0.0
9.0,10.0,0.21562798,1.007e-7,0.0,211.0,0.0
9.0,8.0,0.21615788,8.898e-8,0.0,211.0,0.0
9.0,10.0,0.21690967,4.415e-7,0.0,210.0,0.0
9.0,8.0,0.2189345,5.09e-6,0.0,208.0,0.0
9.0,9.0,0.21967855,3.848e-5,0.0,207.0,0.0
9.0,9.0,0.21992915,4.744e-7,0.0,207.0,0.0
9.0,8.0,0.22090466,8.398e-5,0.0,206.0,0.0
9.0,9.0,0.22183643,2.155e-8,0.0,205.0,0.0
9.0,10.0,0.22192482,3.021e-7,0.0,205.0,0.0
9.0,8.0,0.22231256,5.095e-6,0.0,205.0,0.0
9.0,8.0,0.22266522,6.39e-6,0.0,205.0,0.0
9.0,8.0,0.22302198,3.572e-5,0.0,204.0,0.0
